index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
728,2-cbf-all-channel-middle-platform-anomaly,autoencoder,0,0.5019880715705766,0.0196078431372549,0.564176245210728,0.5014920437534157,0.564176245210728,0.748997995991984,,0.5023529411764706,0.0196078431372549,0.5466215910120504,0.5017660932297447,0.5466215910120504,0.7880761523046091
4840,2-cbf-all-channel-middle-platform-anomaly,cblof,0,1.0,0.0392156862745098,0.7857142857142857,1.0,0.7857142857142857,1.0,,0.06346153846153846,0.0392156862745098,0.11489898989898989,0.038141025641025644,0.11489898989898989,0.9749498997995991
2363,2-cbf-all-channel-middle-platform-anomaly,cof,0,1.0,0.0392156862745098,0.875,1.0,0.875,1.0,,0.12791545189504372,0.0196078431372549,0.02303584585912172,0.06468872009956865,0.02303584585912172,0.8276553106212424
4545,2-cbf-all-channel-middle-platform-anomaly,copod,0,0.00883367839889579,0.0196078431372549,0.027831088664421997,0.004814295479257116,0.027831088664421997,0.6513026052104208,,0.5022727272727273,0.0196078431372549,0.5145667989417989,0.5017058397183682,0.5145667989417989,0.7805611222444889
4204,2-cbf-all-channel-middle-platform-anomaly,dae,0,0.5023255813953489,0.0196078431372549,0.6071428571428572,0.501745541280425,0.6071428571428572,0.7855711422845691,,0.047415329768270946,0.0196078431372549,0.11420611035111719,0.024198824019695395,0.11420611035111719,0.7404809619238477
3211,2-cbf-all-channel-middle-platform-anomaly,damp,0,0.004395688403027291,0.0,0.003106617647058823,0.0026909408484564463,0.003106617647058823,0.6437875751503006,,0.0047379696769940674,0.0,0.0026386881171102643,0.0027919966828286753,0.0026386881171102643,0.6227454909819639
3014,2-cbf-all-channel-middle-platform-anomaly,deepant,0,0.006820253874745774,0.0196078431372549,0.06397626553362573,0.003840419536340185,0.06397626553362573,0.6608216432865731,,0.018729474548440067,0.0196078431372549,0.042233039212595844,0.009737315515650734,0.042233039212595844,0.6503006012024048
2177,2-cbf-all-channel-middle-platform-anomaly,deepnap,0,0.0034161135271229114,0.0,0.019965277777777776,0.0021953861982593114,0.019965277777777776,0.5736472945891784,,0.0023948438070880524,0.0,0.03174954192203197,0.0015175243363225155,0.03174954192203197,0.3852705410821643
1029,2-cbf-all-channel-middle-platform-anomaly,encdec_ad,0,0.0021482462708057363,0.0,0.0014214030101246896,0.0013537651935684163,0.0014214030101246896,0.310120240480962,,0.003196333186782088,0.0,0.006673835125448028,0.002039862706465249,0.006673835125448028,0.5425851703406814
628,2-cbf-all-channel-middle-platform-anomaly,fast_mcd,0,0.006003050294388877,0.0,0.1703125,0.0036594198840365437,0.1703125,0.7364729458917836,,0.013286713286713287,0.0196078431372549,0.10178571428571428,0.007125052211757414,0.10178571428571428,0.718937875751503
2717,2-cbf-all-channel-middle-platform-anomaly,gdn,0,0.002439942047866665,0.0,0.01767191142191142,0.0015981858499545126,0.01767191142191142,0.3911495422177009,,-0.0,0.0,,0.5,,
1614,2-cbf-all-channel-middle-platform-anomaly,hbos,0,0.005725433986303551,0.0,0.1324404761904762,0.00370164316764842,0.1324404761904762,0.7464929859719439,,0.5028571428571429,0.017391304347826087,0.5180966259443703,0.5021595655806183,0.5180966259443703,0.8274048096192385
475,2-cbf-all-channel-middle-platform-anomaly,health_esn,0,0.004101419692907629,0.0,0.0054951690821256035,0.002722752857206503,0.0054951690821256035,0.6382765531062125,,0.020113199919142913,0.0392156862745098,0.007129021118629069,0.012660766626238124,0.007129021118629069,0.9273547094188377
1352,2-cbf-all-channel-middle-platform-anomaly,hif,0,0.010839079116512797,0.0196078431372549,0.09947499309201435,0.006682165820882661,0.09947499309201435,0.8587174348697395,,0.09782608695652173,0.0392156862745098,0.06597222222222222,0.05258951406649616,0.06597222222222222,0.9639278557114228
56,2-cbf-all-channel-middle-platform-anomaly,hybrid_knn,0,0.0024532142201981787,0.0,0.018507774479219807,0.0015921041861224814,0.018507774479219807,0.4085671342685371,,0.0026148110489747503,0.0,0.00277123190429642,0.0016043176385016269,0.00277123190429642,0.40380761523046094
3617,2-cbf-all-channel-middle-platform-anomaly,if_lof,0,0.5277777777777778,0.0392156862745098,0.5767045454545454,0.5210317460317461,0.5767045454545454,0.9829659318637274,,0.12406015037593984,0.0392156862745098,0.10096153846153846,0.0759189640768588,0.10096153846153846,0.9884769539078155
2578,2-cbf-all-channel-middle-platform-anomaly,iforest,0,0.050505050505050504,0.0196078431372549,0.15665584415584416,0.026521560785520176,0.15665584415584416,0.8967935871743488,,0.06628787878787878,0.0392156862745098,0.09437905844155844,0.038463088330109606,0.09437905844155844,0.9719438877755511
4648,2-cbf-all-channel-middle-platform-anomaly,kmeans,0,0.5555555555555556,0.0392156862745098,0.7908163265306123,0.5424836601307189,0.7908163265306123,0.9919839679358717,,0.25157728706624605,0.0196078431372549,0.014114452798663324,0.12618358824086395,0.014114452798663324,0.682865731462926
1202,2-cbf-all-channel-middle-platform-anomaly,knn,0,0.11309523809523808,0.0392156862745098,0.375,0.06741718426501035,0.375,0.9859719438877755,,0.012740384615384615,0.0196078431372549,0.13472222222222222,0.007153891367253437,0.13472222222222222,0.8151302605210421
4051,2-cbf-all-channel-middle-platform-anomaly,lstm-vae,0,,0.0,0.501,,0.501,,,,0.0,0.501,,0.501,
2250,2-cbf-all-channel-middle-platform-anomaly,lstm_ad,0,0.012304334738109574,0.0196078431372549,0.03125,0.007818834035721454,0.03125,0.8817635270541082,,0.01165734079403144,0.0196078431372549,0.0028990636658703887,0.006429631935477259,0.0028990636658703887,0.7655310621242485
2024,2-cbf-all-channel-middle-platform-anomaly,mstamp,0,0.005750847980265187,0.0,0.020408333333333334,0.003784514899223502,0.020408333333333334,0.7454909819639279,,0.0031054405392392874,0.0,0.0008412035819691481,0.001956597490944361,0.0008412035819691481,0.5230460921843687
1541,2-cbf-all-channel-middle-platform-anomaly,multi_subsequence_lof,0,0.00441899748952413,0.0,0.002607121352496861,0.002646561681825002,0.002607121352496861,0.6207414829659319,,0.003963063315581302,0.0,0.0021826190775089183,0.0025238310070314317,0.0021826190775089183,0.6307615230460922
3814,2-cbf-all-channel-middle-platform-anomaly,normalizing_flows,0,,0.0,0.501,,0.501,,,,0.0,0.501,,0.501,
